2014-06-30	97	11141	32	65	51	12	24	10	0
2014-07-01	114	11743	30	84	74	13	25	2	0
2014-07-02	115	13078	30	85	70	12	32	1	0
2014-07-03	109	10225	41	68	72	9	24	4	0
2014-07-04	92	7279	35	57	67	4	21	0	0
2014-07-05	118	8860	47	71	79	9	27	3	0
2014-07-06	111	12007	41	70	79	6	25	1	0
2014-07-07	118	11459	42	76	83	5	27	3	0
2014-07-08	110	12075	40	70	84	6	18	2	0
2014-07-09	110	9224	28	82	72	9	24	5	0
2014-07-10	133	11942	57	76	86	13	33	1	0
2014-07-11	104	10176	32	72	67	5	29	3	0
2014-07-12	130	13450	50	80	101	5	24	0	0
2014-07-13	145	14673	58	87	110	8	27	0	0
2014-07-14	151	15480	69	82	103	7	37	4	0
2014-07-15	145	12430	56	89	108	8	28	1	0
2014-07-16	125	10317	51	74	89	4	30	2	0
2014-07-17	136	14630	58	78	90	6	37	3	0
2014-07-18	112	8873	36	76	79	8	22	3	0
2014-07-19	115	9383	27	88	71	7	33	4	0
2014-07-20	143	12783	58	85	99	9	33	2	0
2014-07-21	154	22115	47	107	101	8	43	2	0
2014-07-22	118	9895	45	73	73	13	31	1	0
2014-07-23	84	5960	36	48	53	8	22	1	0
2014-07-24	134	14213	50	84	86	8	38	0	2
2014-07-25	104	9933	36	68	71	13	20	0	0
2014-07-26	90	10528	25	65	54	5	29	2	0
2014-07-27	136	14188	42	94	90	8	38	0	0
2014-07-28	113	12379	38	75	72	14	25	2	0
2014-07-29	116	11456	48	68	85	6	25	0	0
2014-07-30	116	13456	43	73	70	8	38	0	0
2014-07-31	126	12837	45	81	80	4	40	1	1
2014-08-01	154	21349	53	101	103	12	37	1	1
2014-08-02	140	26172	35	105	91	13	36	0	0
2014-08-03	91	6369	37	54	61	5	24	1	0
2014-08-04	102	7356	42	60	77	5	19	1	0
2014-08-05	100	7902	39	61	63	4	31	2	0
2014-08-06	103	10198	39	64	71	8	21	2	1
2014-08-07	105	10361	36	69	70	13	22	0	0
2014-08-08	114	10906	35	79	72	9	31	2	0
2014-08-09	123	15154	39	84	74	11	36	2	0
2014-08-10	115	10007	40	75	74	10	30	1	0
2014-08-11	119	12316	47	72	80	6	31	2	0
2014-08-12	123	11420	39	84	76	12	34	1	0
2014-08-13	125	10388	48	77	82	11	29	3	0
2014-08-14	113	16927	34	79	64	14	35	0	0
2014-08-15	110	9756	43	67	75	5	28	1	1
2014-08-16	124	15492	39	85	79	8	36	1	0
2014-08-17	131	13805	42	89	85	11	35	0	0
2014-08-18	108	9532	39	69	70	10	28	0	0
2014-08-19	109	10975	42	67	71	11	27	0	0
2014-08-20	99	8490	46	53	66	4	29	0	0
2014-08-21	136	14293	44	92	90	14	32	0	0
2014-08-22	116	13146	61	55	69	13	34	0	0
2014-08-23	121	12725	54	67	75	7	36	3	0
2014-08-24	97	8473	42	55	65	5	26	1	0
2014-08-25	117	9495	42	75	86	9	21	1	0
2014-08-26	101	10388	31	70	65	13	23	0	0
2014-08-27	112	13562	32	80	70	15	27	0	0
2014-08-28	140	14915	54	86	88	7	43	2	0
2014-08-29	113	12675	36	77	75	7	29	2	0
2014-08-30	118	8950	45	73	73	6	39	0	0
2014-08-31	124	9417	46	78	86	4	33	1	0
2014-09-01	145	20477	68	77	111	9	25	0	0
2014-09-02	127	14058	60	67	89	7	31	0	0
2014-09-03	106	12852	43	63	71	7	27	1	0
2014-09-04	129	16676	51	78	88	13	28	0	0
2014-09-05	114	10022	49	65	80	9	25	0	0
2014-09-06	140	15178	62	78	99	8	33	0	0
2014-09-07	124	14537	52	72	79	13	32	0	0
2014-09-08	130	18080	52	78	78	13	39	0	0
2014-09-09	104	10325	45	59	73	2	29	0	0
2014-09-10	117	13406	62	55	80	2	25	1	9
2014-09-11	132	17509	55	77	90	8	33	0	1
2014-09-12	91	11239	36	55	57	3	31	0	0
2014-09-13	95	13739	38	57	56	16	23	0	0
2014-09-14	104	14942	27	77	62	9	33	0	0
2014-09-15	93	11150	40	53	64	5	24	0	0
2014-09-16	122	13984	35	87	81	12	29	0	0
2014-09-17	115	10602	39	76	75	2	38	0	0
2014-09-18	96	9785	41	55	70	8	18	0	0
2014-09-19	135	19532	47	88	83	15	32	0	5
2014-09-20	98	9428	52	46	64	3	31	0	0
2014-09-21	99	10499	46	53	69	5	25	0	0
2014-09-22	90	8293	28	62	57	9	24	0	0
2014-09-23	96	8896	30	66	62	5	29	0	0
2014-09-24	116	12206	47	69	76	5	35	0	0
2014-09-25	92	9164	27	65	63	8	21	0	0
2014-09-26	76	9801	26	50	41	7	28	0	0
2014-09-27	110	11298	53	57	73	7	30	0	0
2014-09-28	95	8945	31	64	62	3	30	0	0
2014-09-29	81	9481	36	45	52	4	25	0	0
2014-09-30	112	12057	42	70	82	4	26	0	0
2014-10-01	93	9500	42	51	59	4	30	0	0
2014-10-02	96	11556	35	61	68	5	23	0	0
2014-10-03	73	7233	40	33	54	1	18	0	0
2014-10-04	97	9689	35	61	76	9	12	0	0
2014-10-05	97	6790	43	54	73	5	19	0	0
2014-10-06	80	8355	32	48	56	5	19	0	0
2014-10-07	96	11839	39	57	61	5	30	0	0
2014-10-08	102	11966	33	69	61	7	34	0	0
2014-10-09	75	13570	19	56	40	18	17	0	0
